A       Name            Symbol      Min_Z   Max_Z
1   	Hydrogen 	    H           1       7
2   	Helium 	        He          2       10
3   	Lithium 	    Li          3       12
4   	Beryllium 	    Be          5       16
5   	Boron 	        B           6       19
6 	    Carbon 	        C           8       22
7 	    Nitrogen 	    N           10      25
8 	    Oxygen 	        O           12      28
9 	    Fluorine 	    F           14      31
10  	Neon 	        Ne          16      34
11 	    Sodium 	        Na          18      37
12 	    Magnesium   	Mg          19      40
13 	    Aluminum 	    Al          21      42
14 	    Silicon 	    Si          22      44
15 	    Phosphorus  	P           24      46
16 	    Sulfur 	        S           26      49
17 	    Chlorine 	    Cl          28      51
18 	    Argon 	        Ar          30      53
19 	    Potassium 	    K           32      55
20 	    Calcium 	    Ca          34      57
21 	    Scandium 	    Sc          36      60
22 	    Titanium 	    Ti          38      63
23 	    Vanadium 	    V           40      65
24 	    Chromium 	    Cr          42      67
25 	    Manganese 	    Mn          44      69
26 	    Iron 	        Fe          45      72
27 	    Cobalt 	        Co          47      75
28  	Nickel 	        Ni          48      78
29  	Copper 	        Cu          52      80
30  	Zinc 	        Zn          54      83
31 	    Gallium 	    Ga          56      86
32  	Germanium 	    Ge          58      89
33  	Arsenic 	    As          60      92
34  	Selenium 	    Se          65      94
35  	Bromine 	    Br          67      97
36  	Krypton 	    Kr          69      100
37  	Rubidium 	    Rb          71      102
38  	Strontium 	    Sr          73      105
39  	Yttrium 	    Y           76      108
40  	Zirconium 	    Zr          78      110
41  	Niobium 	    Nb          81      113
42  	Molybdenum 	    Mo          83      115
43  	Technetium 	    Tc          85      118
44  	Ruthenium 	    Ru          87      120
45  	Rhodium 	    Rh          89      122
46  	Palladium 	    Pd          91      124
47  	Silver 	        Ag          93      130
48  	Cadmium 	    Cd          95      132
49  	Indium 	        In          97      135
50  	Tin 	        Sn          99      137
51  	Antimony 	    Sb          103     139
52  	Tellurium 	    Te          105     142
53  	Iodine 	        I           108     144
54  	Xenon 	        Xe          110     147
55  	Cesium 	        Cs          112     151
56  	Barium 	        Ba          114     153
57  	Lanthanum 	    La          117     155
58  	Cerium 	        Ce          119     157
59  	Praseodymium 	Pr          121     159
60  	Neodymium 	    Nd          124     161
61  	Promethium 	    Pm          126     163
62  	Samarium 	    Sm          128     165
63  	Europium 	    Eu          130     167
64  	Gadolinium 	    Gd          134     169
65  	Terbium 	    Tb          136     171
66  	Dysprosium 	    Dy          138     173
67  	Holmium 	    Ho          140     175
68  	Erbium 	        Er          143     177
69  	Thulium 	    Tm          145     179
70  	Ytterbium 	    Yb          148     182
71  	Lutetium 	    Lu          150     184
72  	Hafnium 	    Hf          153     188
73  	Tantalum 	    Ta          155     190
74  	Tungsten 	    W           158     192
75  	Rhenium 	    Re          160     194
76  	Osmium 	        Os          162     196
77  	Iridium 	    Ir          164     199
78  	Platinum 	    Pt          166     202
79  	Gold 	        Au          169     205
80  	Mercury 	    Hg          171     210
81  	Thallium 	    Tl          176     212
82  	Lead 	        Pb          178     215
83  	Bismuth 	    Bi          184     219
84 	    Polonium 	    Po          188     220
85 	    Astatine 	    At          193     223
86 	    Radon 	        Rn          195     228
87 	    Francium 	    Fr          199     232
88 	    Radium 	        Ra          202     234
89 	    Actinium 	    Ac          206     236
90 	    Thorium 	    Th          209     238
91 	    Protactinium 	Pa          212     240
92 	    Uranium 	    U           217     242
93 	    Neptunium 	    Np          225     244
94 	    Plutonium 	    Pu          228     247
95 	    Americium 	    Am          231     249
96 	    Curium 	        Cm          233     252
97 	    Berkelium 	    Bk          235     254
98 	    Californium 	Cf          237     256
99 	    Einsteinium 	Es          240     258
100 	Fermium 	    Fm          242     260
101 	Mendelevium 	Md          245     262
102 	Nobelium 	    No          248     264
103 	Lawrencium 	    Lr          251     266
104 	Rutherfordium 	Rf          253     268
105 	Dubnium 	    Db          255     270
106 	Seaborgium 	    Sg          258     273
107 	Bohrium 	    Bh          260     275
108 	Hassium 	    Hs          263     277
109 	Meitnerium 	    Mt          265     279
110 	Darmstadtium 	Ds          267     281
111 	Roentgenium 	Rg          272     283
112 	Copernicium 	Cn          277     285
113 	Nihonium 	    Nh          283     287
114 	Flerovium 	    Fl          285     289
115 	Moscovium 	    Mc          287     291
116 	Livermorium 	Lv          289     292
117 	Tennessine 	    Ts          291     294
118 	Oganesson 	    Og          293     293
