set zams_mass xi1.75 xi2.5 ni56 ni56_error ni57 ni57_error ni58 ni58_error ti44 ti44_error
"Curtis+ 2019 (WHW02)" 10.8 0.03644444159362528 0.0033065729242409293 0.0271 0.0 0.000525 0 0.000182 0 1.45e-05 0.0
"Curtis+ 2019 (WHW02)" 11.0 0.06611893056401512 0.0040352827010719464 0.0238 0.0 0.000346 0 0.000125 0 1.15e-05 0.0
"Curtis+ 2019 (WHW02)" 11.2 0.07324092030369385 0.0051518659431788565 0.0231 0.0 0.000312 0 0.000101 0 1.28e-05 0.0
"Curtis+ 2019 (WHW02)" 11.4 0.08838975419981246 0.005899224637688706 0.0224 0.0 0.000313 0 0.000108 0 1.08e-05 0.0
"Curtis+ 2019 (WHW02)" 11.6 0.07895326880775062 0.004910405007907849 0.0243 0.0 0.000334 0 0.000114 0 1.08e-05 0.0
"Curtis+ 2019 (WHW02)" 11.8 0.06401417776689383 0.003525645582473704 0.0239 0.0 0.00037 0 0.000127 0 1.36e-05 0.0
"Curtis+ 2019 (WHW02)" 12.0 0.1809452905605271 0.016405786602832713 0.0369 0.0 0.00151 0 0.00358 0 2.06e-05 0.0
"Curtis+ 2019 (WHW02)" 12.2 0.21014170663210557 0.022155717969501137 0.0338 0.0 0.000728 0 0.000377 0 2.32e-05 0.0
"Curtis+ 2019 (WHW02)" 12.4 0.26528414176919374 0.02806408389715146 0.0406 0.0 0.000686 0 0.000246 0 2.33e-05 0.0
"Curtis+ 2019 (WHW02)" 12.6 0.2190896847804522 0.03057768845204059 0.0476 0.0 0.0007 0 0.000356 0 2.2e-05 0.0
"Curtis+ 2019 (WHW02)" 12.8 0.15190579064766424 0.02934432906500334 0.032 0.0 0.000435 0 0.000154 0 1.36e-05 0.0
"Curtis+ 2019 (WHW02)" 13.0 0.2441984623511642 0.04098581770134302 0.0438 0.0 0.00174 0 0.00414 0 2.07e-05 0.0
"Curtis+ 2019 (WHW02)" 13.2 0.334419594666463 0.048548522238734695 0.0483 0.0 0.000889 0 0.000291 0 2.89e-05 0.0
"Curtis+ 2019 (WHW02)" 13.4 0.37250710286955635 0.0587729854175119 0.0519 0.0 0.000972 0 0.000316 0 3.04e-05 0.0
"Curtis+ 2019 (WHW02)" 13.6 0.4134025421123703 0.0708234045823966 0.0592 0.0 0.00112 0 0.000382 0 3.39e-05 0.0
"Curtis+ 2019 (WHW02)" 13.8 0.4287338342722369 0.08054624714615266 0.0608 0.0 0.00116 0 0.000403 0 3.54e-05 0.0
"Curtis+ 2019 (WHW02)" 14.0 0.4751217208418762 0.09588851334917206 0.0685 0.0 0.0013 0 0.000463 0 3.83e-05 0.0
"Curtis+ 2019 (WHW02)" 14.2 0.49325577754391847 0.11159794574673347 0.0751 0.0 0.00146 0 0.000545 0 4.19e-05 0.0
"Curtis+ 2019 (WHW02)" 14.4 0.5137191369330125 0.12400881837667524 0.0809 0.0 0.00157 0 0.000617 0 4.4e-05 0.0
