,alpha,mass,folder_path,model_name
0,1.0,9.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.0/run_9.0,stir2_14may19_s9.0_alpha1.0
1,1.0,9.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.0/run_9.25,stir2_14may19_s9.25_alpha1.0
2,1.2,9.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_9.0,stir2_14may19_s9.0_alpha1.2
3,1.2,9.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_9.25,stir2_14may19_s9.25_alpha1.2
4,1.2,9.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_9.5,stir2_14may19_s9.5_alpha1.2
5,1.2,9.75,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_9.75,stir2_14may19_s9.75_alpha1.2
6,1.2,10.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_10.0,stir2_14may19_s10.0_alpha1.2
7,1.2,10.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_10.25,stir2_14may19_s10.25_alpha1.2
8,1.2,11.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_11.0,stir2_14may19_s11.0_alpha1.2
9,1.2,11.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_11.25,stir2_14may19_s11.25_alpha1.2
10,1.2,19.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_19.7,stir2_14may19_s19.7_alpha1.2
11,1.2,19.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_19.8,stir2_14may19_s19.8_alpha1.2
12,1.2,20.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_20.0,stir2_14may19_s20.0_alpha1.2
13,1.2,20.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_20.1,stir2_14may19_s20.1_alpha1.2
14,1.2,20.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_20.2,stir2_14may19_s20.2_alpha1.2
15,1.2,20.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_20.3,stir2_14may19_s20.3_alpha1.2
16,1.2,20.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_20.4,stir2_14may19_s20.4_alpha1.2
17,1.2,20.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_20.5,stir2_14may19_s20.5_alpha1.2
18,1.2,21.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_21.8,stir2_14may19_s21.8_alpha1.2
19,1.2,21.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_21.9,stir2_14may19_s21.9_alpha1.2
20,1.2,22.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.0,stir2_14may19_s22.0_alpha1.2
21,1.2,22.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.1,stir2_14may19_s22.1_alpha1.2
22,1.2,22.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.2,stir2_14may19_s22.2_alpha1.2
23,1.2,22.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.3,stir2_14may19_s22.3_alpha1.2
24,1.2,22.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.4,stir2_14may19_s22.4_alpha1.2
25,1.2,22.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.5,stir2_14may19_s22.5_alpha1.2
26,1.2,22.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.6,stir2_14may19_s22.6_alpha1.2
27,1.2,22.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.7,stir2_14may19_s22.7_alpha1.2
28,1.2,22.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.8,stir2_14may19_s22.8_alpha1.2
29,1.2,22.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.2/run_22.9,stir2_14may19_s22.9_alpha1.2
